frame,unscaled_interval_ms
0,13.427543
1,13.235147
2,13.300152
3,13.367561
4,13.360256
5,13.208685
6,13.437097
7,13.422132
8,13.168298
9,13.438795
10,13.322744
11,13.226686
12,13.508563
13,13.305589
14,13.224358
15,13.437595
16,13.330424
17,13.348918
18,13.367961
19,13.312336
20,13.276715
21,13.791573
22,15.828939
23,13.299551
24,17.117287
25,17.738109
26,18.398568
27,19.930314
28,17.306182
29,20.003338
30,15.913842
31,16.130001
32,17.655409
33,15.809720
34,16.286232
35,16.617768
36,18.523113
37,19.947692
38,17.171134
39,21.270583
40,18.351371
41,23.444306
42,19.895833
43,19.026859
44,16.790601
45,21.537070
46,15.525632
47,16.857927
48,21.275586
49,16.847670
50,18.564487
51,23.997301
52,23.799899
53,22.085596
54,18.513166
55,22.703343
56,16.086057
57,17.806156
58,16.918237
59,14.111991
60,13.189463
61,15.213262
62,15.794790
63,19.181256
64,13.829268
65,14.164827
66,15.011083
67,17.896647
68,18.068801
69,14.997564
70,18.083303
71,16.709426
72,17.494663
73,14.869785
74,14.713934
75,15.376065
76,15.354329
77,16.841746
78,15.009948
79,16.714592
80,17.485359
81,14.330972
82,17.112267
83,17.641611
84,21.315887
85,16.702054
86,15.052406
87,17.362835
88,18.681154
89,14.676808
90,17.318520
91,15.153773
92,14.449946
93,16.831949
94,14.716740
95,15.110682
96,15.332671
97,17.276867
98,19.199289
99,16.806710
100,19.732594
101,15.551342
102,15.483928
103,15.678906
104,15.219146
105,16.501789
106,16.426682
107,14.660911
108,14.873283
109,17.144709
110,17.308072
111,15.696017
112,15.030411
113,16.794937
114,18.811437
115,17.235361
116,18.313537
117,15.593791
118,18.213002
119,14.490379
120,14.934217
121,14.866712
122,16.529666
123,16.910073
124,13.395804
125,14.626782
126,13.243554
127,15.189012
128,15.984943
129,16.969461
130,18.807378
131,14.600424
132,17.659814
133,17.492363
134,18.536104
135,14.590762
136,14.369351
137,15.534530
138,14.979544
139,15.899669
140,17.678141
141,12.620371
142,18.073990
143,14.903006
144,16.490443
145,19.307526
146,13.315764
147,15.777660
148,13.299980
149,13.247062
150,13.395149
151,13.377076
152,13.211019
153,13.438995
154,13.320246
155,13.239109
156,13.505269
157,13.247209
158,13.249529
159,13.716344
160,13.274132
161,13.025590
162,13.422074
163,13.319353
164,13.241490
165,13.488405
166,13.318457
167,13.201601
168,13.630787
169,13.172714
170,13.193199
171,13.745175
172,13.014445
173,13.235728
174,13.499402
175,13.249118
176,13.343618
177,13.394539
178,13.408155
179,13.136853
180,13.512911
181,13.246949
182,13.228860
183,13.452786
184,13.303026
185,13.242647
186,13.499770
187,13.285021
188,13.229718
189,13.471370
190,13.325052
191,13.182340
192,13.487093
193,13.334483
194,13.200229
195,13.444440
196,13.334270
197,13.204984
198,13.589443
199,13.434530
200,12.993693
201,13.433613
202,13.438476
203,13.150568
204,13.454603
205,13.282003
206,13.255095
207,13.407804
208,13.345105
209,13.226171
210,13.443238
211,13.345017
212,13.206925
213,13.433309
214,13.438487
215,13.118526
216,13.527614
217,13.309288
218,13.191781
219,13.440287
220,13.295471
221,13.321002
222,13.370609
223,13.314326
224,13.241221
225,13.436670
226,13.411984
227,13.155007
228,13.529908
229,13.283426
230,13.190788
231,13.625987
232,13.230058
233,13.172994
234,13.832058
235,12.927370
236,13.254272
237,13.513197
