frame,unscaled_interval_ms
0,36.399423
1,34.901902
2,35.002042
3,33.951262
4,28.857302
5,28.970300
6,31.361845
7,27.349703
8,24.452278
9,35.955451
10,33.119677
11,27.220217
12,27.319575
13,27.237865
14,27.786964
15,27.704928
16,29.067332
17,29.581934
18,43.312908
19,33.973651
20,34.715700
21,28.830702
22,27.634367
23,29.148010
24,23.595888
25,19.734264
26,22.612533
27,21.683910
28,21.840802
29,21.158963
30,19.519531
31,19.118013
32,19.434421
33,19.179519
34,19.473942
35,19.276053
36,19.751351
37,19.588643
38,19.925688
39,21.493408
40,22.428991
41,21.181011
42,21.382321
43,19.785166
44,21.740849
45,19.073896
46,19.208233
47,19.038406
48,19.100390
49,19.270810
50,20.172007
51,21.780360
52,21.760452
53,22.144408
54,19.164721
55,19.403397
56,18.699292
57,19.288609
58,19.249707
59,19.222027
60,19.974798
61,20.894261
62,21.283771
63,24.276147
64,25.410270
65,26.272639
66,24.875628
67,23.062836
68,21.998570
69,22.445868
70,22.383623
71,27.742567
72,23.700386
73,23.230377
74,26.140969
75,23.909880
76,23.561662
77,20.445460
78,22.144757
79,19.634958
80,20.602464
81,18.549382
82,19.288278
83,19.103025
84,19.296185
85,20.696528
86,21.621716
87,21.444248
88,21.749737
89,20.253156
90,19.046065
91,19.109677
92,19.334959
93,19.058346
94,19.501829
95,19.413183
96,19.085440
97,19.697715
98,22.417396
99,21.660646
100,21.637224
101,21.322617
102,19.947557
103,18.535986
104,18.855192
105,19.212639
106,19.342403
107,19.072010
108,18.937822
109,19.206829
110,20.540973
111,23.797496
112,21.324381
113,21.416316
114,20.323079
115,19.271843
116,19.996036
117,19.152773
118,19.602120
119,20.594851
120,45.178702
121,34.339382
122,31.626664
123,39.974577
124,27.628661
125,33.900664
126,29.624658
127,30.333164
128,28.586558
129,35.950356
130,35.255421
131,32.902787
132,40.103944
133,38.027003
134,27.657193
135,26.563026
136,32.145668
137,30.395814
138,34.250367
139,31.640498
140,31.697694
141,30.184590
142,35.586382
143,29.511171
144,37.928471
145,33.213263
146,36.609253
147,29.334467
148,32.729428
149,27.653889
150,29.995322
151,27.428450
152,33.356634
153,39.936179
154,34.909707
155,31.851638
156,30.987420
157,26.448993
158,27.814496
159,28.036642
160,32.076268
161,32.652276
162,31.127240
163,30.333080
164,30.887741
165,30.289667
166,28.824862
167,27.182700
168,34.311641
169,30.145715
170,30.578642
171,32.209757
172,26.162500
173,23.787792
174,31.734936
175,26.017872
176,24.537748
177,33.809212
178,35.365992
179,28.092923
180,26.315498
181,25.610171
182,26.896799
183,25.963867
184,20.346720
185,19.206234
186,21.698970
187,21.560119
188,21.357724
189,21.298153
190,18.792370
191,19.274214
192,19.476045
193,18.833193
194,19.186437
195,19.220700
196,19.176618
197,19.272576
198,19.206280
199,21.819337
200,21.194390
201,21.557561
202,21.337926
203,20.794881
204,19.347071
205,19.098433
206,19.059739
207,19.126551
208,19.079319
209,19.020062
210,18.763589
211,21.066306
212,21.716989
213,21.411644
214,21.090387
215,21.169169
216,20.762684
217,19.151528
218,19.344068
219,19.182787
220,18.929894
221,18.899678
222,19.032391
223,20.060481
224,21.647757
225,21.699431
226,21.360438
227,18.811736
228,19.129665
229,19.114857
230,21.260912
231,21.063978
232,20.884096
233,27.548164
234,19.367962
235,19.782377
236,21.858473
237,21.587535
238,21.847060
239,20.978953
240,19.503385
241,19.197379
242,19.084922
243,19.142053
244,19.101229
245,19.166216
246,19.096938
247,18.869499
248,20.988941
249,21.470023
250,21.786901
251,21.469616
252,19.352482
253,19.429237
254,21.208377
255,19.000907
256,19.203165
257,18.895639
258,19.217664
259,19.010515
260,20.004351
261,20.983591
262,21.115827
263,21.136435
264,21.388380
265,19.636765
266,18.938066
267,18.956721
268,19.245846
269,18.773789
270,19.058865
271,19.100151
272,18.952248
273,21.226330
274,21.629151
275,21.303724
276,22.067275
277,19.493761
278,20.105723
279,19.313845
280,19.154858
281,19.445878
282,19.281822
283,41.140750
284,28.183563
285,30.692664
286,34.713025
287,30.446074
288,28.165506
289,31.648876
290,28.739625
291,30.459133
292,29.728357
293,35.972413
294,37.567266
295,29.394278
296,37.543890
297,29.988403
298,29.858054
299,32.065696
300,28.507307
301,32.592513
302,37.444527
303,38.283089
304,28.664065
305,29.052892
306,30.559613
307,32.230869
308,33.695198
309,36.162172
310,32.001183
311,24.120171
312,33.114479
313,29.642082
314,34.964739
315,25.564032
316,35.914855
317,33.683382
318,35.932076
319,35.306275
320,29.757875
321,30.111842
322,29.535985
323,33.270141
324,37.168001
325,33.210985
326,40.511673
327,34.073130
328,30.263152
329,38.037508
330,31.052562
331,35.841132
332,36.436932
333,32.010158
334,32.728041
335,28.876838
336,27.411319
337,30.916676
338,29.033408
339,35.098130
340,31.923666
341,28.788886
342,25.719056
343,38.479957
344,38.098898
345,36.026945
346,30.023639
347,37.847023
348,35.892942
349,30.806354
350,33.870390
351,39.112025
352,33.254371
353,46.726701
354,35.678851
355,32.728512
356,33.727961
357,26.558448
358,24.538536
359,30.824541
360,26.893852
361,29.648625
362,35.448376
363,30.272723
364,27.493026
365,27.591845
366,32.263096
367,26.257201
368,24.295583
369,32.722986
370,32.514841
371,34.939437
372,28.131441
373,29.880356
374,28.088548
375,27.644410
376,24.893724
377,20.318935
378,20.070352
379,22.711819
380,22.869331
381,22.853006
382,20.031028
383,19.809643
384,19.451453
385,19.533980
386,19.967909
387,20.247370
388,19.737670
389,19.967581
390,19.333578
391,22.362996
392,22.262864
393,23.072205
394,21.873701
395,20.951049
396,21.219305
397,23.407231
398,22.306766
399,21.439510
400,20.382475
401,19.890020
402,21.309483
403,23.513992
404,21.576937
405,22.370029
406,19.968927
407,20.014330
408,19.487173
409,19.380413
410,19.926578
411,19.333310
412,19.774786
413,19.368133
414,20.318505
415,21.701493
416,21.817592
417,22.396909
418,21.629723
419,19.546824
420,19.775563
421,19.697174
422,19.922095
423,19.752277
424,26.709482
425,19.537186
426,20.004433
427,22.529346
428,21.875230
429,22.308582
430,22.245313
431,20.248015
432,19.694307
433,20.025287
434,19.821707
435,19.701710
436,20.829634
437,19.204366
438,21.495395
439,23.543196
440,23.912268
441,24.293952
442,24.333313
443,22.271180
444,21.789071
445,20.414344
446,20.858610
447,20.466633
448,20.906730
449,20.976116
450,24.602621
451,24.023772
452,23.604106
453,22.623928
454,19.121631
455,19.778725
456,19.737252
457,19.159205
458,19.300102
459,19.621606
460,19.285179
461,19.103280
462,21.741679
463,21.465688
464,22.035621
465,21.250263
466,19.358236
467,19.177306
468,19.346614
469,20.264756
470,19.764316
471,36.136705
472,33.507518
473,30.343035
474,31.862567
475,33.435424
476,27.597410
477,28.687585
478,29.344770
479,33.655776
480,29.204070
481,32.845088
482,32.553218
483,34.213305
484,27.735717
485,30.007739
486,27.012054
487,30.234174
488,27.086317
489,30.574292
490,36.143511
491,35.716378
492,28.377246
493,27.068100
494,29.219042
495,27.614594
496,28.845541
497,31.250866
498,32.545158
499,30.184070
500,23.913601
501,34.219353
502,28.363552
503,26.904694
504,28.350262
505,29.595771
506,35.056721
507,35.493703
508,30.200659
509,32.085095
510,28.611335
511,27.857637
512,33.943025
513,29.520183
514,31.190862
515,34.413125
516,31.267791
517,31.712402
518,31.150085
519,25.883215
520,30.254875
521,37.034032
522,31.238298
523,36.647026
524,29.826896
525,33.063346
526,26.478343
527,23.913716
528,31.619543
529,29.746634
530,29.984804
531,35.117707
532,32.835103
533,32.220906
534,29.943264
535,27.884872
536,31.786544
537,32.220917
538,27.569569
539,36.267475
540,35.255412
541,28.975704
542,29.779767
543,31.969832
544,29.109533
545,29.513246
546,30.180627
547,35.082635
548,34.235412
549,24.178731
550,30.931999
551,29.731979
552,34.111174
553,30.729373
554,29.851200
555,33.037595
556,32.279163
557,27.692240
558,28.892377
559,27.827586
560,27.769088
561,30.072902
562,27.982846
563,30.928549
564,35.428565
565,30.044299
566,26.400385
567,29.613546
568,31.194107
569,25.084744
570,26.058896
571,26.440809
572,25.348844
573,22.195792
574,21.508799
575,19.403988
576,21.215346
577,19.514296
578,18.730093
579,20.713476
580,19.417559
581,19.230238
582,19.454100
583,20.794488
584,21.764998
585,22.095755
586,21.826772
587,20.244366
588,21.659120
589,20.517734
590,19.442589
591,19.864130
592,19.901976
593,19.696414
594,19.324062
595,19.924209
596,21.830828
597,21.693921
598,22.309341
599,21.188535
600,19.257222
601,19.326383
602,19.404078
603,19.614787
604,19.119212
605,19.406895
606,19.392002
607,20.265256
608,21.211545
609,21.799411
610,21.557482
611,21.435886
612,19.423197
613,19.207153
614,19.298588
615,19.306916
616,19.187577
617,19.033730
618,19.324607
619,19.345323
620,30.060245
621,22.033574
622,21.686478
623,22.017720
624,19.255865
625,19.437575
626,19.541827
627,19.495097
628,19.976727
629,19.304850
630,19.994868
631,19.224216
632,21.414991
633,22.634943
634,22.176406
635,22.505745
636,20.094922
637,19.896665
638,20.215087
639,19.654819
640,19.977262
641,20.603326
642,19.609573
643,19.625259
644,22.091695
645,21.775534
646,22.367033
647,22.861795
648,20.004436
649,20.403914
650,20.019812
651,19.771910
652,19.401027
653,19.811934
654,20.060956
655,20.762066
656,20.814385
657,22.823916
658,22.841785
659,22.069379
660,19.608612
661,20.129001
662,20.518135
663,19.419907
664,20.115701
665,19.827407
666,20.535504
667,20.309166
668,46.588434
669,36.439189
670,28.193844
671,27.073609
672,31.727049
673,29.937338
674,29.758702
675,30.360453
676,35.568903
677,37.124279
678,29.540291
679,35.831279
680,30.306637
681,27.942153
682,32.082288
683,28.614617
684,33.505453
685,36.721659
686,30.381816
687,32.187479
688,29.719352
689,28.253215
690,29.951519
691,28.194914
692,37.672288
693,39.212679
694,30.028997
695,33.558745
696,28.434670
697,31.058841
698,27.406945
699,32.027595
700,39.492916
701,34.589797
702,31.334868
703,28.854208
704,31.276337
705,28.644188
706,32.770780
707,34.227807
708,32.591383
709,36.910220
710,37.805626
711,35.151764
712,37.200518
713,33.953543
714,32.068147
715,43.251382
716,37.785732
717,31.092161
718,32.346398
719,28.904633
720,33.222105
721,27.704050
722,33.617823
723,36.110079
724,36.098324
725,31.063589
726,30.030649
727,29.088614
728,37.599634
729,41.261093
730,37.867849
731,40.198925
732,34.936230
733,28.426115
734,35.979353
735,37.536302
736,46.982944
737,38.651052
738,30.149439
739,33.453276
740,29.474896
741,29.013877
742,32.062800
743,28.317779
744,31.740170
745,33.940699
746,30.387195
747,30.213544
748,28.805203
749,32.982711
750,28.335144
751,30.044309
752,37.157212
753,35.266819
754,29.271246
755,27.745138
756,29.936060
757,29.654579
758,33.636562
759,31.408234
760,38.370382
761,32.997337
762,31.092822
763,33.245204
764,30.182937
765,28.960582
766,28.372560
767,35.885868
768,39.443228
769,34.451139
770,28.372303
771,28.866431
772,30.808239
773,31.962701
774,30.280684
775,31.771068
776,39.158743
777,36.571384
778,28.216955
779,28.493231
780,31.554310
781,27.156458
782,24.728286
783,32.108556
784,23.442368
785,22.989746
786,22.515893
787,19.892530
788,19.914799
789,20.050977
790,20.037993
791,19.914543
792,20.811482
793,20.396847
794,21.791967
795,23.544647
796,23.345808
797,22.944984
798,22.166140
799,21.216116
800,20.040160
801,20.031158
802,20.450373
803,20.627844
804,20.782980
805,20.029340
806,22.476156
807,22.637473
808,22.985007
809,22.430171
810,20.592615
811,20.516938
812,20.622415
813,20.095216
814,20.089077
815,20.561451
816,20.380922
817,21.171465
818,22.918177
819,23.171357
820,22.995644
821,22.625754
822,20.153687
823,20.729951
824,20.283849
825,19.988025
826,19.837356
827,20.607226
828,20.276475
829,20.563148
830,32.243116
831,22.717538
832,22.833419
833,20.636308
834,20.017664
835,20.026743
836,19.968746
837,20.487063
838,20.127239
839,20.497744
840,20.178640
841,21.475657
842,23.264869
843,22.622247
844,22.143711
845,20.351175
846,19.979902
847,20.326029
848,19.973671
849,20.240527
850,20.600796
851,20.281314
852,19.979338
853,23.448916
854,22.713356
855,22.375489
856,22.704110
857,20.844340
858,22.782525
859,19.937373
860,20.020305
861,20.031391
862,20.001779
863,20.202025
864,19.892981
865,23.532185
866,22.557690
867,23.668032
868,21.678460
869,20.100025
870,20.238460
871,20.047498
872,20.437251
873,19.665882
874,20.062786
875,20.327706
876,20.283728
877,46.137748
878,36.145451
879,33.081382
880,30.263074
881,30.415054
882,30.103017
883,31.142157
884,35.316774
885,32.919667
886,33.396338
887,33.073894
888,29.963205
889,27.699503
890,32.006232
891,29.235562
892,36.888802
893,41.613342
894,42.466586
895,38.172766
896,36.234837
897,34.675993
898,32.858114
899,37.131785
900,36.046557
901,35.238565
902,29.835051
903,31.936042
904,24.890165
905,31.861561
906,29.279174
907,36.741783
908,33.575612
909,32.236789
910,34.840415
911,30.895876
912,37.105384
913,36.348754
914,36.148608
915,37.658834
916,37.578750
917,35.118164
918,30.299836
919,29.426029
920,30.370142
921,31.591983
922,33.360725
923,37.541430
924,32.221115
925,30.318907
926,30.737468
927,29.172068
928,31.157857
929,32.918691
930,36.351871
931,35.114070
932,29.545484
933,27.907969
934,30.787414
935,29.550049
936,32.955127
937,34.531492
938,29.994323
939,35.209127
940,27.320947
941,27.590440
942,29.471791
943,25.978577
944,20.698113
945,20.236079
946,22.902302
947,22.642355
948,21.094619
949,20.139297
950,20.089991
951,21.290485
952,19.199171
953,20.113970
954,20.169462
955,20.696522
956,20.602901
957,20.805279
958,25.701323
959,26.648581
960,24.775450
961,22.852408
962,20.514696
963,20.417916
964,20.564205
965,20.135797
966,20.567731
967,20.444842
968,19.976229
969,21.074398
970,23.835406
971,22.402525
972,22.286834
973,20.713135
974,20.564801
975,20.579067
976,20.657912
977,20.339920
978,19.901661
979,20.135442
980,20.341060
981,21.147243
982,23.564958
983,22.724261
984,21.792646
985,22.492851
986,20.300090
987,20.393963
988,19.781115
989,20.081096
990,29.278062
991,20.615102
992,21.030641
993,22.722234
994,22.270482
995,22.394428
996,22.261948
997,20.331836
998,20.288390
999,21.004817
1000,19.632254
1001,21.236937
1002,19.612464
1003,20.277356
1004,20.984761
1005,22.280845
1006,22.592623
1007,23.792079
1008,21.271075
1009,22.539690
1010,20.325409
1011,20.619445
1012,19.873367
1013,20.326348
1014,20.267464
1015,20.294542
1016,21.094001
1017,22.538210
1018,22.496971
1019,22.191683
1020,20.600881
1021,20.429135
1022,20.304115
1023,20.113648
1024,20.080402
1025,20.092087
1026,20.019651
1027,20.108036
1028,21.469946
1029,22.590735
1030,22.823845
1031,22.245357
1032,21.535844
1033,20.090308
1034,20.036908
1035,20.270148
1036,20.109227
1037,47.492970
1038,32.395653
1039,31.360108
1040,35.074449
1041,29.684693
1042,35.637907
1043,28.053808
1044,29.530384
1045,32.013385
1046,33.720428
1047,38.547968
1048,32.713629
1049,34.409864
1050,31.005817
1051,33.883730
1052,30.706985
1053,32.357677
1054,32.865099
1055,39.429422
1056,32.625793
1057,35.163527
1058,27.247587
1059,32.154924
1060,32.906966
1061,31.303800
1062,37.618150
1063,33.157820
1064,37.001619
1065,31.974293
1066,30.045506
1067,35.591668
1068,36.795742
1069,37.132744
1070,39.502575
1071,32.406218
1072,37.552680
1073,32.330778
1074,27.357162
1075,36.438657
1076,38.874841
1077,38.040316
1078,32.896862
1079,34.350684
1080,32.835869
1081,35.455019
1082,33.349551
1083,36.477579
1084,38.614919
1085,35.378046
1086,30.622499
1087,32.376820
1088,26.464958
1089,31.989417
1090,29.388200
1091,38.496196
1092,38.542141
1093,31.289427
1094,33.185122
1095,30.501150
1096,30.239685
1097,33.508415
1098,32.640648
1099,38.329745
1100,36.845985
1101,28.579557
1102,31.405358
1103,30.486862
1104,35.704131
1105,38.402164
1106,38.780031
1107,36.108027
1108,31.546077
1109,28.957962
1110,32.335120
1111,26.268775
1112,27.660737
1113,29.993399
1114,37.307545
1115,30.490859
1116,28.243156
1117,29.900609
1118,28.906077
1119,28.920830
1120,29.791195
1121,31.665687
1122,35.635723
1123,35.844680
1124,27.506930
1125,30.814786
1126,30.252693
1127,24.274873
1128,20.692428
1129,20.780058
1130,22.003788
1131,23.097702
1132,23.028852
1133,22.755073
1134,21.895318
1135,20.039324
1136,20.134566
1137,20.609424
1138,19.932665
1139,20.207309
1140,19.902987
1141,20.223878
1142,21.206727
1143,22.390881
1144,23.200058
1145,22.327441
1146,22.709927
1147,21.162486
1148,19.728755
1149,20.158905
1150,20.860377
1151,22.073300
1152,21.714731
1153,23.665531
1154,26.153701
1155,25.581777
1156,26.798276
1157,24.794863
1158,22.769841
1159,24.163679
1160,23.376234
1161,23.804704
1162,23.918792
1163,24.952020
1164,25.358948
1165,25.135827
1166,24.537304
1167,21.844236
1168,22.613817
1169,21.925532
1170,22.073364
1171,27.888885
1172,23.293214
1173,24.117942
1174,22.595707
1175,23.833535
1176,22.728923
1177,23.051281
1178,22.810564
1179,20.768504
1180,20.416525
1181,20.071224
1182,20.082291
1183,20.133555
1184,20.225043
1185,20.239405
1186,21.475645
1187,22.740298
1188,23.224880
1189,22.171532
1190,21.054440
1191,20.318979
1192,20.461794
1193,20.377643
1194,20.946313
1195,20.689698
1196,20.260463
1197,21.157783
1198,22.150546
1199,22.704444
1200,22.328666
1201,22.433250
1202,20.169991
1203,20.511522
1204,20.081535
