frame,unscaled_interval_ms
0,23.767177
1,58.934565
2,32.387299
3,38.814971
4,35.045261
5,28.146484
6,31.537839
7,37.872196
8,47.750639
9,31.487887
10,37.720706
11,35.368805
12,27.685887
13,29.775339
14,34.239463
15,31.472244
16,34.649304
17,30.914576
18,31.294568
19,36.100839
20,37.938318
21,30.949083
22,40.491480
23,33.772382
24,23.693134
25,31.171379
26,31.863330
27,30.450903
28,32.158237
29,30.048025
30,34.042163
31,32.932362
32,30.711331
33,30.310145
34,30.583789
35,29.252640
36,30.749722
37,37.127982
38,31.203140
39,38.479655
40,28.304226
41,32.956503
42,29.746177
43,31.014760
44,33.410766
45,32.533950
46,35.722571
47,31.873049
48,29.297745
49,24.756356
50,32.482358
51,27.802560
52,28.962817
53,35.388976
54,33.770935
55,29.994878
56,30.644107
57,30.232259
58,28.437892
59,26.773051
60,27.382859
61,33.097081
62,33.556965
63,34.298641
64,25.869943
65,26.549740
66,29.257739
67,26.828528
68,25.844049
69,31.982223
70,31.008156
71,32.201563
72,26.907756
73,30.442168
74,26.743230
75,26.857662
76,27.083015
77,27.371488
78,29.231123
79,38.136618
80,31.866654
81,27.323668
82,25.983753
83,30.824121
84,23.184170
85,26.510576
86,31.309299
87,30.761070
88,30.328616
89,32.659681
90,26.023004
91,24.425703
92,31.890026
93,28.232628
94,26.301492
95,28.325806
96,35.876697
97,31.733323
98,29.589601
99,27.571613
100,28.753943
101,27.872510
102,28.262178
103,27.891637
104,36.957077
105,33.143528
106,32.271714
107,27.758904
108,29.172913
109,28.190155
110,32.459882
111,27.457226
112,31.747867
113,39.879478
114,34.996029
115,29.299553
116,29.122008
117,28.566849
118,30.565788
119,28.866736
120,31.729459
121,36.623763
122,32.907926
123,32.086413
124,26.801195
125,26.552052
126,27.448782
127,28.266870
128,29.913342
129,33.781822
130,33.638575
131,34.709254
132,24.400846
133,28.626747
134,30.308105
135,23.143979
136,31.354424
137,30.919140
138,34.459800
139,28.338405
140,27.210453
141,27.353798
142,27.744630
143,27.390728
144,27.871314
145,29.595423
146,34.199887
147,31.824336
148,27.651639
149,26.845043
150,19.463520
151,20.975838
152,21.079391
153,20.101385
154,20.894785
155,20.992108
156,21.435593
157,21.747436
158,21.488317
159,19.650962
160,19.255025
161,19.205818
162,19.364299
163,19.395668
164,19.258595
165,19.246321
166,19.140505
167,20.055562
168,21.568334
169,22.107286
170,21.301057
171,21.747958
172,19.043578
173,19.886062
174,19.231724
175,19.266218
176,19.272239
177,19.374031
178,19.167475
179,19.107652
180,20.961655
181,21.546307
182,21.158403
183,22.452907
184,19.799840
185,18.687216
186,19.215653
187,19.235495
188,19.170788
189,19.436902
190,19.274032
191,20.126654
192,20.070940
193,21.515710
194,21.664952
195,21.554206
196,22.488121
197,19.200416
198,22.349516
199,23.360920
200,19.618083
201,19.847686
202,18.783600
203,19.327035
204,19.513053
205,21.553488
206,21.331635
207,21.379529
208,21.875703
209,19.300605
210,19.229755
211,19.225495
212,19.573116
213,19.287695
214,19.067450
215,19.063510
216,18.835291
217,21.253974
218,21.294542
219,21.936711
220,21.802132
221,23.776786
222,19.026574
223,19.243382
224,20.027823
225,19.933534
226,18.988491
227,19.156315
228,18.997757
229,20.173749
230,21.148298
231,21.712095
232,21.465870
233,21.199245
234,19.149659
235,19.376890
236,19.132080
237,19.454242
238,19.407915
239,19.081394
240,18.803282
241,18.892517
242,23.637703
243,20.501873
244,21.470409
245,21.372884
246,20.851308
247,19.138752
248,45.914484
249,29.304449
250,25.256482
