observation_frame,frame_timestamp,cpu_total_ms,main_work_ms,render_work_ms,present_wait_ms,gpu_ms,gc0_total
0,107040145857955,13.335533,0.901447,0.316095,12.426711,0.000000,185
1,107040159193488,13.699190,4.634915,0.366378,9.057326,0.000000,185
2,107040172892678,13.336202,1.081766,0.267967,12.248394,0.000000,185
3,107040186228880,13.329182,1.698993,0.351384,11.622772,0.000000,185
4,107040199558062,13.334614,2.582531,0.365343,10.747202,0.000000,185
5,107040212892676,13.336672,0.807889,0.275662,12.522665,0.000000,185
6,107040226229348,13.330057,0.951276,0.240625,12.372998,0.000000,185
7,107040239559405,13.332301,0.891299,0.295252,12.435745,0.000000,185
8,107040252891706,13.337014,0.851083,0.258392,12.480005,0.000000,185
9,107040266228720,13.330308,3.610057,0.343378,9.714259,0.000000,185
10,107040279559028,13.335236,1.690078,0.324156,11.639585,0.000000,185
11,107040292894264,13.335656,0.995702,0.350961,12.333986,0.000000,185
12,107040306229920,13.330491,0.803366,0.344373,12.520887,0.000000,185
13,107040319560411,13.332690,0.758875,0.297972,12.569171,0.000000,185
14,107040332893101,13.337750,0.783240,0.352841,12.548748,0.000000,185
15,107040346230851,13.330351,0.826094,0.304771,12.498358,0.000000,185
16,107040359561202,13.332229,0.812007,0.310139,12.515335,0.000000,185
17,107040372893431,13.334036,3.422299,0.256358,9.906475,0.000000,185
18,107040386227467,13.333333,0.653497,0.277601,12.674475,0.000000,185
19,107040399560800,13.334880,1.027554,0.305250,12.301412,0.000000,185
20,107040412895680,13.331886,0.812915,0.258498,12.513311,0.000000,185
21,107040426227566,13.338656,0.759831,0.287873,12.572374,0.000000,185
22,107040439566222,13.330797,0.877135,0.276478,12.446385,0.000000,185
23,107040452897019,13.335395,0.800566,0.279462,12.527178,0.000000,185
24,107040466232414,13.332163,0.821570,0.336156,12.503471,0.000000,185
25,107040479564577,13.328244,3.384584,0.247727,9.937582,0.000000,185
26,107040492892821,13.335261,0.746525,0.272492,12.583349,0.000000,185
27,107040506228082,13.336834,0.913879,0.223971,12.417187,0.000000,185
28,107040519564916,13.330597,0.900879,0.251163,12.423309,0.000000,185
29,107040532895513,13.330485,0.802539,0.257087,12.522324,0.000000,185
30,107040546225998,13.338652,0.683377,0.295613,12.649479,0.000000,185
31,107040559564650,13.329986,0.871069,0.265759,12.452821,0.000000,185
32,107040572894636,13.355282,0.835646,0.632504,12.513579,0.000000,185
33,107040586249918,13.331352,3.783369,0.349998,9.540345,0.000000,185
34,107040599581270,13.333784,0.953791,0.653566,12.372958,0.000000,185
35,107040612915054,13.334957,1.266067,0.340060,12.063023,0.000000,185
36,107040626250011,13.336695,0.860161,0.255820,12.468107,0.000000,185
37,107040639586706,13.326832,1.000869,0.276799,12.320086,0.000000,185
38,107040652913538,13.333544,0.800432,0.578861,12.527719,0.000000,185
39,107040666247082,13.335527,0.669330,0.355108,12.659985,0.000000,185
40,107040679582609,13.333620,1.015775,0.366147,12.311822,0.000000,185
41,107040692916229,13.335699,3.398618,0.569928,9.930182,0.000000,185
