observation_frame,frame_timestamp,cpu_total_ms,main_work_ms,render_work_ms,present_wait_ms,gpu_ms,gc0_total
0,83539982664135,13.332447,0.923187,0.615321,12.403253,0.000000,43
1,83539995996582,13.333292,0.940690,0.509387,12.386978,0.000000,43
2,83540009329874,13.336023,0.819935,0.610150,12.509642,0.000000,43
3,83540022665897,13.333159,2.495980,0.486400,10.829617,0.000000,43
4,83540035999056,13.332702,3.544321,0.609122,9.781035,0.000000,43
5,83540049331758,13.335863,0.939114,0.717313,12.388026,0.000000,43
6,83540062667621,13.332667,1.154852,0.644878,12.168694,0.000000,43
7,83540076000288,13.331371,0.973444,0.638031,12.348746,0.000000,43
8,83540089331659,13.333085,0.897139,0.616239,12.428067,0.000000,43
9,83540102664744,13.333614,0.943080,0.566955,12.383249,0.000000,43
10,83540115998358,13.331857,0.901123,0.610280,12.423864,0.000000,43
11,83540129330215,13.335455,1.040481,0.593357,12.287973,0.000000,43
12,83540142665670,13.331028,1.025488,0.663498,12.298778,0.000000,43
13,83540155996698,13.335215,0.889522,0.489708,12.439183,0.000000,43
14,83540169331913,13.333834,0.858404,0.639458,12.469093,0.000000,43
15,83540182665747,13.332230,0.957634,0.481109,12.367614,0.000000,43
16,83540195997977,13.333977,0.919512,0.513455,12.407324,0.000000,43
17,83540209331954,13.334002,0.864115,0.432161,12.462455,0.000000,43
18,83540222665956,13.333277,0.928328,0.643527,12.398153,0.000000,43
19,83540235999233,13.332196,1.145407,0.617740,12.179516,0.000000,43
20,83540249331429,13.334132,0.870614,0.541342,12.455689,0.000000,43
21,83540262665561,13.335307,0.970666,0.692003,12.356443,0.000000,43
22,83540276000868,13.332600,0.978633,0.651169,12.345953,0.000000,43
23,83540289333468,13.334240,0.979817,0.637883,12.346811,0.000000,43
24,83540302667708,13.332740,1.136715,0.604898,12.187036,0.000000,43
25,83540316000448,13.333028,1.104746,0.783519,12.220135,0.000000,44
26,83540329333476,13.332095,0.981038,0.544875,12.344064,0.000000,44
27,83540342665571,13.336017,1.476861,0.593405,11.851726,0.000000,44
28,83540356001588,13.332786,1.112273,0.397622,12.211836,0.000000,44
29,83540369334374,13.332839,1.015074,0.647658,12.309961,0.000000,44
30,83540382667213,13.334152,1.006455,0.477787,12.320327,0.000000,44
31,83540396001365,13.331275,0.939784,0.561522,12.383892,0.000000,44
32,83540409332640,13.335185,0.833039,0.599867,12.494900,0.000000,44
33,83540422667825,13.332755,0.979622,0.474908,12.346389,0.000000,44
34,83540436000580,13.332457,0.905657,0.478150,12.419081,0.000000,44
35,83540449333037,13.330933,2.990566,0.520774,10.333732,0.000000,44
36,83540462663970,13.337752,1.044030,0.424617,12.285748,0.000000,44
