observation_frame,frame_timestamp,cpu_total_ms,main_work_ms,render_work_ms,present_wait_ms,gpu_ms,gc0_total
0,92021409518865,13.332016,0.858690,0.589970,12.468870,0.000000,45
1,92021422850881,13.335553,0.730553,0.628056,12.599767,0.000000,45
2,92021436186434,13.333307,0.838977,0.653428,12.489372,0.000000,45
3,92021449519741,13.333429,1.287765,0.632517,12.040044,0.000000,45
4,92021462853170,13.333555,3.068803,0.646681,10.258588,0.000000,45
5,92021476186725,13.331662,0.849732,0.648876,12.476017,0.000000,45
6,92021489518387,13.333819,0.816668,0.636133,12.512373,0.000000,45
7,92021502852206,13.333875,0.756206,0.664138,12.572540,0.000000,45
8,92021516186081,13.332139,0.873031,0.577444,12.453838,0.000000,45
9,92021529518220,13.333401,0.812791,0.551199,12.515995,0.000000,45
10,92021542851621,13.333650,0.755466,0.598804,12.573799,0.000000,45
11,92021556185271,13.334279,1.056386,0.503382,12.273291,0.000000,45
12,92021569519550,13.334165,0.887788,0.484971,12.441254,0.000000,45
13,92021582853715,13.332977,0.825602,0.550551,12.502267,0.000000,45
14,92021596186692,13.332842,0.896645,0.590082,12.431122,0.000000,45
15,92021609519534,13.334816,0.873045,0.650555,12.457204,0.000000,45
16,92021622854350,13.330971,0.846583,0.554370,12.478983,0.000000,45
17,92021636185321,13.335978,0.846911,0.498267,12.482730,0.000000,45
18,92021649521299,13.331594,1.082658,0.662477,12.243025,0.000000,45
19,92021662852893,13.332932,0.983649,0.637051,12.345024,0.000000,45
20,92021676185825,13.338033,0.836168,0.672963,12.493565,0.000000,45
21,92021689523858,13.328689,0.996021,0.714207,12.327328,0.000000,45
22,92021702852547,13.332976,0.770859,0.638016,12.556950,0.000000,45
23,92021716185523,13.334727,0.821607,0.630145,12.507573,0.000000,45
24,92021729520250,13.334752,1.286232,0.605231,12.043038,0.000000,45
25,92021742855002,13.333111,0.928162,0.640811,12.399410,0.000000,45
26,92021756188113,13.334019,1.017090,0.650593,12.309246,0.000000,45
27,92021769522132,13.332088,1.275653,0.517353,12.049371,0.000000,45
28,92021782854220,13.332124,0.929989,0.613059,12.395437,0.000000,45
29,92021796186344,13.340916,1.083224,0.631101,12.247488,0.000000,45
30,92021809527260,13.328908,1.047299,0.580954,12.272177,0.000000,45
31,92021822856168,13.331770,0.943248,0.617990,12.382110,0.000000,45
32,92021836187938,13.335235,0.960452,0.654178,12.368149,0.000000,45
33,92021849523173,13.332379,0.974750,0.608488,12.352168,0.000000,46
34,92021862855552,13.333335,0.945335,0.600029,12.382768,0.000000,46
35,92021876188887,13.333949,1.209176,0.668271,12.119350,0.000000,46
36,92021889522836,13.332619,0.914481,0.499556,12.412853,0.000000,46
37,92021902855455,13.333965,0.831506,0.541539,12.496505,0.000000,46
38,92021916189420,13.336378,0.913744,0.587854,12.415076,0.000000,46
39,92021929525798,13.331333,1.150317,0.563700,12.174826,0.000000,46
40,92021942857131,13.333190,0.879669,0.629473,12.447379,0.000000,46
41,92021956190321,13.334727,1.203283,0.518034,12.125146,0.000000,46
42,92021969525048,13.341149,1.130914,0.757085,12.199869,0.000000,46
43,92021982866197,13.326070,1.297634,0.551480,12.019534,0.000000,46
44,92021996192267,13.331025,0.927519,0.609024,12.396991,0.000000,46
45,92022009523292,13.334459,0.913163,0.601274,12.414195,0.000000,46
46,92022022857751,13.335711,1.019173,0.773045,12.308592,0.000000,46
47,92022036193462,13.329405,0.959836,0.671737,12.362707,0.000000,46
48,92022049522867,13.333730,1.150546,0.730906,12.177814,0.000000,46
49,92022062856597,13.334599,0.982815,0.533760,12.345311,0.000000,46
50,92022076191196,13.333384,0.919281,0.625179,12.408273,0.000000,46
51,92022089524580,13.333013,1.099845,0.472533,12.226688,0.000000,46
52,92022102857593,13.333524,0.924181,0.636944,12.402890,0.000000,46
53,92022116191117,13.332519,0.912710,0.641098,12.414194,0.000000,46
54,92022129523636,13.334028,0.894101,0.628734,12.434053,0.000000,46
55,92022142857664,13.337872,0.861518,0.507086,12.470321,0.000000,46
56,92022156195536,13.327698,0.916101,0.485270,12.406425,0.000000,46
57,92022169523234,13.335303,0.929632,0.616144,12.400407,0.000000,46
58,92022182858537,13.333483,0.881568,0.608792,12.445231,0.000000,46
59,92022196192020,13.333156,1.112291,0.641640,12.213991,0.000000,46
60,92022209525176,13.333481,0.942808,0.752674,12.383957,0.000000,46
61,92022222858657,13.338041,1.011776,0.618573,12.317293,0.000000,46
62,92022236196698,13.330919,0.874025,0.624902,12.448633,0.000000,46
63,92022249527617,13.330310,1.095217,0.737727,12.227922,0.000000,46
64,92022262857927,13.332880,0.912394,0.632498,12.415490,0.000000,46
65,92022276190807,13.333638,0.898468,0.651751,12.428933,0.000000,46
66,92022289524445,13.333722,0.929366,0.571553,12.398207,0.000000,46
67,92022302858167,13.333112,1.138386,0.648127,12.189322,0.000000,46
68,92022316191279,13.330412,1.189080,0.675809,12.136081,0.000000,46
69,92022329521691,13.334475,0.926851,0.659195,12.402882,0.000000,46
70,92022342856166,13.334373,0.845349,0.728864,12.484815,0.000000,46
71,92022356190539,13.332684,1.036220,0.618852,12.290208,0.000000,46
72,92022369523223,13.340700,1.233444,0.414007,12.100660,0.000000,46
73,92022382863923,13.343533,0.987527,0.588795,12.349056,0.000000,46
74,92022396207456,13.333307,1.037119,0.592580,12.288979,0.000000,46
75,92022409540763,13.334959,1.184742,0.624223,12.141858,0.000000,46
76,92022422875722,13.334318,0.879536,0.727160,12.447653,0.000000,46
77,92022436210040,13.331399,1.264435,0.592157,12.060186,0.000000,46
78,92022449541439,13.331443,1.092059,0.634381,12.233898,0.000000,46
79,92022462872882,13.337080,0.924794,0.489121,12.405174,0.000000,46
80,92022476209962,13.330707,1.040375,0.573535,12.283674,0.000000,46
81,92022489540669,13.333191,0.965463,0.427756,12.360891,0.000000,46
82,92022502873860,13.335703,0.940537,0.635717,12.389009,0.000000,46
83,92022516209563,13.336906,1.376527,0.612465,11.952298,0.000000,46
84,92022529546469,13.329867,1.031395,0.603112,12.291343,0.000000,46
85,92022542876336,13.333597,0.826529,0.582544,12.500360,0.000000,46
86,92022556209933,13.333994,1.065086,0.435328,12.262009,0.000000,46
87,92022569543927,13.335616,1.157259,0.497422,12.169626,0.000000,46
88,92022582879543,13.332155,1.050655,0.602035,12.274067,0.000000,46
89,92022596211698,13.330280,1.351847,0.989790,11.971257,0.000000,46
90,92022609541978,13.334325,1.461370,0.430622,11.866044,0.000000,46
91,92022622876303,13.332725,1.167177,0.406712,12.159066,0.000000,46
92,92022636209028,13.334997,1.003189,0.441973,12.324927,0.000000,46
