observation_frame,frame_timestamp,cpu_total_ms,main_work_ms,render_work_ms,present_wait_ms,gpu_ms,gc0_total
0,85606070485603,13.337256,0.920078,0.477105,12.411201,0.000000,42
1,85606083822859,13.332578,0.892722,0.555088,12.433222,0.000000,42
2,85606097155437,13.331700,0.916760,0.670595,12.408089,0.000000,42
3,85606110487137,13.334444,2.901351,0.686164,10.426900,0.000000,43
4,85606123821581,13.332196,4.323932,0.665913,9.002183,0.000000,43
5,85606137153777,13.335291,0.836128,0.539210,12.493072,0.000000,43
6,85606150489068,13.332215,0.959459,0.421615,12.366720,0.000000,43
7,85606163821283,13.334088,1.013299,0.595512,12.314772,0.000000,43
8,85606177155371,13.333333,0.977555,0.624175,12.349572,0.000000,43
9,85606190488704,13.333022,0.983410,0.594632,12.342847,0.000000,43
10,85606203821726,13.335744,0.898945,0.628177,12.430763,0.000000,43
11,85606217157470,13.333845,1.183246,0.667393,12.142654,0.000000,43
12,85606230491315,13.331894,1.009025,0.630703,12.315245,0.000000,43
13,85606243823209,13.333530,1.034441,0.543064,12.291585,0.000000,43
14,85606257156739,13.331796,0.956166,0.593156,12.369425,0.000000,43
15,85606270488535,13.334109,0.974004,0.599460,12.354316,0.000000,43
16,85606283822644,13.333568,0.931603,0.433939,12.396209,0.000000,43
17,85606297156212,13.332878,0.965101,0.582885,12.361119,0.000000,43
18,85606310489090,13.333058,1.117796,0.648465,12.208811,0.000000,43
19,85606323822148,13.335082,1.139691,0.653055,12.188946,0.000000,43
20,85606337157230,13.332925,0.897890,0.546166,12.428168,0.000000,43
21,85606350490155,13.332599,1.003196,0.590532,12.322373,0.000000,43
22,85606363822754,13.335739,0.947055,0.477572,12.382713,0.000000,43
23,85606377158493,13.331281,0.952611,0.577596,12.371066,0.000000,43
24,85606390489774,13.333460,0.971801,0.614300,12.355243,0.000000,43
25,85606403823234,13.334534,0.930052,0.672848,12.398343,0.000000,43
26,85606417157768,13.332213,0.915999,0.597683,12.408810,0.000000,43
27,85606430489981,13.332389,1.314649,0.618411,12.011855,0.000000,43
28,85606443822370,13.335907,0.989775,0.634794,12.340363,0.000000,43
29,85606457158277,13.331215,0.950355,0.431669,12.374468,0.000000,43
30,85606470489492,13.332997,0.980526,0.504345,12.346701,0.000000,43
31,85606483822489,13.332274,0.954524,0.527148,12.372833,0.000000,43
32,85606497154763,13.335018,0.875190,0.673653,12.453714,0.000000,43
33,85606510489781,13.333770,1.004806,0.604561,12.322809,0.000000,43
34,85606523823551,13.334453,0.979464,0.650660,12.348546,0.000000,43
35,85606537158004,13.334195,1.102466,0.468753,12.224671,0.000000,43
36,85606550492199,13.331818,0.942585,0.666121,12.382457,0.000000,43
37,85606563824017,13.333837,0.899026,0.595902,12.428181,0.000000,43
38,85606577157854,13.332929,0.904340,0.456920,12.422759,0.000000,43
39,85606590490783,13.333848,1.020505,0.608566,12.307568,0.000000,43
40,85606603824631,13.332947,1.001037,0.611353,12.325881,0.000000,43
41,85606617157578,13.335136,0.924218,0.640595,12.403411,0.000000,43
42,85606630492714,13.333531,1.190393,0.483091,12.135721,0.000000,43
43,85606643826245,13.332119,1.236827,0.614098,12.088254,0.000000,43
44,85606657158364,13.334224,1.272439,0.641406,12.054501,0.000000,43
45,85606670492588,13.333377,1.148012,0.630799,12.178144,0.000000,43
46,85606683825965,13.332824,1.127409,0.643030,12.198091,0.000000,43
47,85606697158789,13.334137,0.947128,0.719962,12.380630,0.000000,43
48,85606710492926,13.334294,1.033708,0.586096,12.292628,0.000000,43
49,85606723827220,13.331650,0.929266,0.555500,12.395147,0.000000,43
50,85606737158870,13.333971,0.814228,0.575419,12.513350,0.000000,43
51,85606750492841,13.331409,1.144850,0.662688,12.181161,0.000000,43
52,85606763824250,13.334945,0.987669,0.606334,12.341040,0.000000,43
53,85606777159195,13.334885,0.949024,0.625657,12.378493,0.000000,43
54,85606790494080,13.331259,1.046889,0.629919,12.277825,0.000000,43
55,85606803825339,13.332019,1.026568,0.621016,12.299386,0.000000,43
56,85606817157358,13.334725,0.865496,0.621745,12.463570,0.000000,43
57,85606830492083,13.332371,1.056961,0.673039,12.269472,0.000000,43
58,85606843824454,13.335321,0.846283,0.456016,12.483039,0.000000,43
59,85606857159775,13.333813,1.096271,0.677527,12.232285,0.000000,43
60,85606870493588,13.333835,1.015862,0.612509,12.310957,0.000000,43
61,85606883827423,13.332555,1.074638,0.633766,12.251328,0.000000,43
62,85606897159978,13.333271,0.963423,0.599501,12.363072,0.000000,43
63,85606910493249,13.335335,1.103093,0.746953,12.225162,0.000000,43
64,85606923828584,13.331470,0.973155,0.631633,12.351341,0.000000,43
65,85606937160054,13.333477,0.820256,0.650602,12.507246,0.000000,43
66,85606950493531,13.401159,1.416776,0.483408,11.972223,0.000000,43
67,85606963894690,13.423495,2.436523,0.450300,10.960174,0.000000,43
68,85606977318185,13.309670,1.728343,0.435348,11.557901,0.000000,43
69,85606990627855,13.333491,1.094234,0.503179,12.232149,0.000000,43
70,85607003961346,13.332801,1.025781,0.618314,12.300010,0.000000,43
71,85607017294147,13.332355,0.936363,0.613915,12.389949,0.000000,43
72,85607030626502,13.333528,0.979787,0.781306,12.347287,0.000000,43
73,85607043960030,13.334174,0.911041,0.615216,12.417301,0.000000,43
74,85607057294204,13.333459,0.896348,0.656734,12.430525,0.000000,43
75,85607070627663,13.336337,1.209144,0.683996,12.120408,0.000000,43
76,85607083964000,13.335620,1.051401,0.607933,12.276198,0.000000,43
77,85607097299620,13.332019,0.998709,0.666194,12.324520,0.000000,43
78,85607110631639,13.332185,1.085535,0.675433,12.237798,0.000000,43
79,85607123963824,13.332661,1.175762,0.581503,12.148181,0.000000,43
80,85607137296485,13.332123,0.993849,0.657957,12.331121,0.000000,43
81,85607150628608,13.334194,1.082603,0.653281,12.244194,0.000000,43
82,85607163962802,13.333338,1.119743,0.600658,12.206537,0.000000,43
83,85607177296140,13.330466,1.224485,0.622117,12.099214,0.000000,43
84,85607190626606,13.334287,0.992689,0.919199,12.335703,0.000000,43
85,85607203960893,13.333428,0.965433,0.505501,12.361848,0.000000,43
86,85607217294321,13.335046,0.912092,0.941071,12.416546,0.000000,43
87,85607230629367,13.333677,0.996153,0.615502,12.330840,0.000000,43
88,85607243963044,13.332814,1.094166,1.173817,12.231700,0.000000,43
89,85607257295858,13.332152,1.381995,0.584426,11.943161,0.000000,43
90,85607270628010,13.333588,0.965028,0.611703,12.362438,0.000000,43
91,85607283961598,13.333340,1.213540,0.566852,12.113888,0.000000,43
92,85607297294938,13.333913,0.934353,0.592515,12.393456,0.000000,43
93,85607310628851,13.333872,0.984075,0.667168,12.343334,0.000000,43
94,85607323962723,13.333419,0.997305,0.633732,12.330304,0.000000,43
95,85607337296142,13.333849,0.961557,0.622220,12.364673,0.000000,43
96,85607350629991,13.333570,1.023175,0.636173,12.304248,0.000000,43
