observation_frame,frame_timestamp,cpu_total_ms,main_work_ms,render_work_ms,present_wait_ms,gpu_ms,gc0_total
0,117439272246323,13.332820,3.875903,0.866496,9.449954,0.000000,58
1,117439285579143,13.334719,1.245403,0.608716,12.082643,0.000000,58
2,117439298913862,13.333728,1.592010,0.720649,11.734488,0.000000,58
3,117439312247590,13.352555,1.998840,0.765859,11.336821,0.000000,58
4,117439325600145,13.312424,4.023906,0.579918,9.274088,0.000000,58
5,117439338912569,13.335888,1.228512,0.680156,12.100637,0.000000,58
6,117439352248457,13.332085,1.318912,0.701752,12.005145,0.000000,58
7,117439365580542,13.332663,1.207546,0.483711,12.118337,0.000000,58
8,117439378913205,13.330862,4.294038,0.497348,9.031225,0.000000,58
9,117439392244067,13.337351,0.856408,0.579566,12.475351,0.000000,58
10,117439405581418,13.333160,1.439252,0.529953,11.886201,0.000000,58
11,117439418914578,13.333147,1.744830,0.509829,11.581764,0.000000,58
12,117439432247725,13.333650,1.108812,0.606722,12.218300,0.000000,58
13,117439445581375,13.334287,1.420695,0.722483,11.905410,0.000000,58
14,117439458915662,13.332001,1.073579,0.547218,12.252371,0.000000,58
15,117439472247663,13.334415,0.825654,0.618049,12.502671,0.000000,58
16,117439485582078,13.330455,3.444119,0.650928,9.879868,0.000000,58
17,117439498912533,13.334543,1.099624,0.627120,12.229087,0.000000,58
18,117439512247076,13.334815,0.798268,0.668698,12.531765,0.000000,58
19,117439525581891,13.332008,1.171460,0.550507,12.154629,0.000000,58
20,117439538913899,13.334758,0.903181,0.648553,12.425653,0.000000,58
21,117439552248657,13.331237,0.938350,0.488937,12.387554,0.000000,58
22,117439565579894,13.335179,0.869974,0.513157,12.458938,0.000000,58
23,117439578915073,13.331763,0.943600,0.390235,12.382904,0.000000,58
24,117439592246836,13.333163,3.461584,0.390503,9.865915,0.000000,58
25,117439605579999,13.333456,0.898846,0.439319,12.428948,0.000000,58
26,117439618913455,13.333844,0.890214,0.540269,12.438217,0.000000,58
27,117439632247299,13.334086,1.077702,0.535219,12.251118,0.000000,58
28,117439645581385,13.334437,0.896039,0.554587,12.431231,0.000000,58
29,117439658915822,13.330638,1.515622,0.488669,11.809281,0.000000,58
30,117439672246460,13.333887,0.826468,0.463655,12.501937,0.000000,58
31,117439685580347,13.334079,0.936551,0.473661,12.391611,0.000000,58
32,117439698914426,13.331850,3.397483,0.314848,9.929059,0.000000,58
